帧,时间,播放,评论,同时人数,同时人数不带加号,点赞,投币,收藏,转发
2124212,2024-08-20T07:43:23+08:00,275.5,1.9,1000+,1000,27.6,28.7,10.5,4.3
2138616,2024-08-20T07:47:23+08:00,276.0,1.9,1000+,1000,27.6,28.7,10.5,4.3
1796527,2024-08-20T06:12:21+08:00,267.7,1.8,1000+,1000,27.3,28.4,10.4,4.3
197706,2024-08-19T22:48:14+08:00,240.4,1.6,5000+,5000,25.5,26.1,9.7,4.1
2685960,2024-08-20T10:19:25+08:00,298.5,1.9,2000+,2000,28.7,29.7,10.9,4.4
3964293,2024-08-20T16:14:31+08:00,329.5,2.1,2000+,2000,30.5,31.5,11.5,4.6
4115533,2024-08-20T16:56:31+08:00,331.8,2.1,2000+,2000,30.6,31.7,11.6,4.7
3596997,2024-08-20T14:32:29+08:00,323.5,2.1,2000+,2000,30.2,31.2,11.4,4.6
1324802,2024-08-20T04:01:19+08:00,265.1,1.8,1000+,1000,27.2,28.2,10.4,4.3
2419489,2024-08-20T09:05:24+08:00,288.3,1.9,2000+,2000,28.2,29.2,10.7,4.4
2171024,2024-08-20T07:56:23+08:00,277.3,1.9,1000+,1000,27.7,28.7,10.5,4.3
1090741,2024-08-20T02:56:18+08:00,263.5,1.8,1000+,1000,27.1,28.1,10.4,4.3
4860929,2024-08-20T20:23:34+08:00,344.2,2.2,3000+,3000,31.3,32.5,11.9,4.8
2199832,2024-08-20T08:04:23+08:00,278.7,1.9,2000+,2000,27.7,28.8,10.6,4.3
291332,2024-08-19T23:14:15+08:00,245.1,1.7,5000+,5000,25.8,26.5,9.8,4.1
2703963,2024-08-20T10:24:25+08:00,299.1,1.9,2000+,2000,28.8,29.7,10.9,4.4
3820257,2024-08-20T15:34:30+08:00,327.3,2.1,2000+,2000,30.4,31.4,11.5,4.6
1789325,2024-08-20T06:10:21+08:00,267.7,1.8,1000+,1000,27.3,28.4,10.4,4.3
1321201,2024-08-20T04:00:19+08:00,265.1,1.8,1000+,1000,27.2,28.2,10.4,4.3
3560988,2024-08-20T14:22:29+08:00,322.9,2.1,2000+,2000,30.1,31.1,11.4,4.6
1155558,2024-08-20T03:14:18+08:00,264.0,1.8,1000+,1000,27.2,28.2,10.4,4.3
2235841,2024-08-20T08:14:23+08:00,280.3,1.9,2000+,2000,27.8,28.9,10.6,4.3
341741,2024-08-19T23:28:15+08:00,247.6,1.7,5000+,5000,26.0,26.6,9.9,4.1
1461637,2024-08-20T04:39:20+08:00,265.8,1.8,993,993,27.3,28.3,10.4,4.3
312936,2024-08-19T23:20:15+08:00,246.2,1.7,5000+,5000,25.9,26.5,9.8,4.1
1018722,2024-08-20T02:36:18+08:00,262.8,1.8,1000+,1000,27.1,28.1,10.3,4.3
2405085,2024-08-20T09:01:24+08:00,287.8,1.9,2000+,2000,28.2,29.2,10.7,4.4
5231826,2024-08-20T22:06:36+08:00,351.9,2.3,3000+,3000,31.7,32.9,12.0,4.8
687435,2024-08-20T01:04:16+08:00,258.1,1.8,2000+,2000,26.8,27.6,10.2,4.2
3856266,2024-08-20T15:44:30+08:00,327.8,2.1,2000+,2000,30.4,31.4,11.5,4.6
2855202,2024-08-20T11:06:26+08:00,303.0,2.0,2000+,2000,29.0,30.0,11.0,4.5
446172,2024-08-19T23:57:15+08:00,252.1,1.7,4000+,4000,26.3,27.0,10.0,4.2
3575392,2024-08-20T14:26:29+08:00,323.2,2.1,2000+,2000,30.1,31.1,11.4,4.6
4349594,2024-08-20T18:01:32+08:00,335.4,2.2,2000+,2000,30.8,31.9,11.7,4.7
4183951,2024-08-20T17:15:32+08:00,332.7,2.1,2000+,2000,30.7,31.7,11.6,4.7
4382003,2024-08-20T18:10:32+08:00,335.9,2.2,2000+,2000,30.9,31.9,11.7,4.7
3942688,2024-08-20T16:08:30+08:00,329.3,2.1,2000+,2000,30.5,31.5,11.5,4.6
118486,2024-08-19T22:26:14+08:00,236.3,1.6,5000+,5000,25.2,25.9,9.6,4.1
2008982,2024-08-20T07:11:22+08:00,271.6,1.8,1000+,1000,27.5,28.5,10.5,4.3
2873207,2024-08-20T11:11:26+08:00,303.4,2.0,2000+,2000,29.0,30.0,11.0,4.5
1728109,2024-08-20T05:53:21+08:00,267.2,1.8,1000+,1000,27.3,28.4,10.4,4.3
658627,2024-08-20T00:56:16+08:00,257.5,1.8,3000+,3000,26.7,27.5,10.2,4.2
1025924,2024-08-20T02:38:18+08:00,262.9,1.8,1000+,1000,27.1,28.1,10.3,4.3
2023384,2024-08-20T07:15:22+08:00,272.1,1.8,1000+,1000,27.5,28.5,10.5,4.3
114885,2024-08-19T22:25:14+08:00,236.1,1.6,5000+,5000,25.2,25.9,9.6,4.0
1710104,2024-08-20T05:48:21+08:00,267.0,1.8,992,992,27.3,28.4,10.4,4.3
615417,2024-08-20T00:44:16+08:00,256.6,1.7,3000+,3000,26.7,27.5,10.2,4.2
4778105,2024-08-20T20:00:34+08:00,342.8,2.2,3000+,3000,31.2,32.4,11.8,4.8
1083539,2024-08-20T02:54:18+08:00,263.4,1.8,1000+,1000,27.1,28.1,10.4,4.3
2127812,2024-08-20T07:44:23+08:00,275.6,1.9,1000+,1000,27.6,28.7,10.5,4.3
3975097,2024-08-20T16:17:31+08:00,329.7,2.1,2000+,2000,30.5,31.5,11.5,4.6
190504,2024-08-19T22:46:14+08:00,239.9,1.6,5000+,5000,25.5,26.1,9.7,4.1
4490031,2024-08-20T18:40:33+08:00,337.8,2.2,2000+,2000,30.9,32.0,11.7,4.7
4223561,2024-08-20T17:26:32+08:00,333.4,2.1,2000+,2000,30.7,31.8,11.6,4.7
3308921,2024-08-20T13:12:28+08:00,316.7,2.0,3000+,3000,29.8,30.8,11.3,4.6
1166360,2024-08-20T03:17:18+08:00,264.1,1.8,1000+,1000,27.2,28.2,10.4,4.3
554201,2024-08-20T00:27:16+08:00,255.3,1.7,3000+,3000,26.6,27.3,10.1,4.2
3384542,2024-08-20T13:33:28+08:00,318.7,2.0,3000+,3000,29.9,30.9,11.3,4.6
1310398,2024-08-20T03:57:19+08:00,265.0,1.8,1000+,1000,27.2,28.2,10.4,4.3
5037374,2024-08-20T21:12:35+08:00,347.8,2.2,3000+,3000,31.5,32.7,12.0,4.8
3172085,2024-08-20T12:34:27+08:00,312.3,2.0,3000+,3000,29.5,30.5,11.1,4.5
1386019,2024-08-20T04:18:19+08:00,265.4,1.8,1000+,1000,27.2,28.3,10.4,4.3
565003,2024-08-20T00:30:16+08:00,255.5,1.7,3000+,3000,26.6,27.3,10.1,4.2
316538,2024-08-19T23:21:15+08:00,246.4,1.7,4000+,4000,25.9,26.5,9.9,4.1
3344932,2024-08-20T13:22:28+08:00,317.6,2.0,3000+,3000,29.8,30.8,11.3,4.6
4421613,2024-08-20T18:21:33+08:00,336.6,2.2,2000+,2000,30.9,32.0,11.7,4.7
2469900,2024-08-20T09:19:24+08:00,290.5,1.9,2000+,2000,28.3,29.3,10.7,4.4
4432416,2024-08-20T18:24:33+08:00,336.8,2.2,2000+,2000,30.9,32.0,11.7,4.7
